structure_name,field_id,field_name,code,name,description,price_modifier,cost_modifier,active
Materasso,modello,Modello,M1,Modello Basic,Materasso entry level senza memory foam,0,0,true
Materasso,modello,Modello,M2,Modello Comfort,Materasso con strato memory foam 5cm,150,75,true
Materasso,modello,Modello,M3,Modello Premium,Materasso memory foam alta densità + gel,300,150,true
Materasso,modello,Modello,M4,Modello Luxury,Materasso top gamma con memory gel e molle insacchettate,500,250,true
Materasso,larghezza,Larghezza,080,Larghezza 80cm,Singolo francese,0,0,true
Materasso,larghezza,Larghezza,090,Larghezza 90cm,Singolo standard,-50,-25,true
Materasso,larghezza,Larghezza,120,Larghezza 120cm,Una piazza e mezza,50,25,true
Materasso,larghezza,Larghezza,140,Larghezza 140cm,Matrimoniale piccolo,100,50,true
Materasso,larghezza,Larghezza,160,Larghezza 160cm,Matrimoniale standard,150,75,true
Materasso,larghezza,Larghezza,170,Larghezza 170cm,Matrimoniale grande,180,90,true
Materasso,larghezza,Larghezza,180,Larghezza 180cm,King size,220,110,true
Materasso,larghezza,Larghezza,200,Larghezza 200cm,Super king,300,150,true
Materasso,lunghezza,Lunghezza,190,Lunghezza 190cm,Lunghezza standard,0,0,true
Materasso,lunghezza,Lunghezza,195,Lunghezza 195cm,Lunghezza intermedia,25,12,true
Materasso,lunghezza,Lunghezza,200,Lunghezza 200cm,Lunghezza lunga,50,25,true
Materasso,lunghezza,Lunghezza,210,Lunghezza 210cm,Lunghezza extra,100,50,true
Materasso,taglia_sx,Taglia Sinistra,##,Nessuna taglia,Non utilizzare taglie diverse,0,0,true
Materasso,taglia_sx,Taglia Sinistra,0S,Taglia S sinistra,Rigidità morbida lato sinistro,30,15,true
Materasso,taglia_sx,Taglia Sinistra,0M,Taglia M sinistra,Rigidità media lato sinistro,35,18,true
Materasso,taglia_sx,Taglia Sinistra,0L,Taglia L sinistra,Rigidità sostenuta lato sinistro,40,20,true
Materasso,taglia_sx,Taglia Sinistra,0X,Taglia XL sinistra,Rigidità extra sostenuta lato sinistro,50,25,true
Materasso,taglia_dx,Taglia Destra,##,Nessuna taglia,Non utilizzare taglie diverse,0,0,true
Materasso,taglia_dx,Taglia Destra,0S,Taglia S destra,Rigidità morbida lato destro,30,15,true
Materasso,taglia_dx,Taglia Destra,0M,Taglia M destra,Rigidità media lato destro,35,18,true
Materasso,taglia_dx,Taglia Destra,0L,Taglia L destra,Rigidità sostenuta lato destro,40,20,true
Materasso,taglia_dx,Taglia Destra,0X,Taglia XL destra,Rigidità extra sostenuta lato destro,50,25,true
Materasso,topper_sx,Topper Sinistro,##,Nessun topper,Senza strato aggiuntivo,0,0,true
Materasso,topper_sx,Topper Sinistro,T1,Topper Basic,Strato aggiuntivo 3cm memory foam,80,40,true
Materasso,topper_sx,Topper Sinistro,T2,Topper Memory,Strato aggiuntivo 5cm memory foam,120,60,true
Materasso,topper_sx,Topper Sinistro,T3,Topper Gel,Strato aggiuntivo memory foam con gel,160,80,true
Materasso,topper_sx,Topper Sinistro,T4,Topper Premium,Strato aggiuntivo memory gel + climatizzato,220,110,true
Materasso,topper_sx,Topper Sinistro,T5,Topper Luxury,Strato 7cm memory gel + termoregolazione,300,150,true
Materasso,topper_dx,Topper Destro,##,Nessun topper,Senza strato aggiuntivo,0,0,true
Materasso,topper_dx,Topper Destro,T1,Topper Basic,Strato aggiuntivo 3cm memory foam,80,40,true
Materasso,topper_dx,Topper Destro,T2,Topper Memory,Strato aggiuntivo 5cm memory foam,120,60,true
Materasso,topper_dx,Topper Destro,T3,Topper Gel,Strato aggiuntivo memory foam con gel,160,80,true
Materasso,topper_dx,Topper Destro,T4,Topper Premium,Strato aggiuntivo memory gel + climatizzato,220,110,true
